Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,Assets,BUY,SELL
5/20/2020,2477.87,2500.01,2467.27,2497.94,12199.75,---,---
5/21/2020,2500.0,2525.45,2442.54,2446.74,12199.75,---,---
5/22/2020,2455.01,2469.85,2430.13,2436.88,12199.75,---,---
5/26/2020,2458.0,2462.0,2414.06,2421.86,12199.75,---,---
5/27/2020,2404.99,2413.58,2330.0,2410.39,12199.75,---,---
5/28/2020,2384.33,2436.97,2378.23,2401.1,12199.75,---,---
5/29/2020,2415.94,2442.37,2398.2,2442.37,12199.75,---,---
6/1/2020,2448.0,2476.93,2444.17,2471.04,12199.75,---,---
6/2/2020,2467.0,2473.53,2445.31,2472.41,12199.75,---,---
6/3/2020,2468.01,2488.0,2461.17,2478.4,12199.75,---,---
6/4/2020,2477.43,2507.54,2450.01,2460.6,12199.75,---,---
6/5/2020,2444.51,2488.64,2437.13,2483.0,12199.75,---,---
6/8/2020,2500.2,2530.0,2487.34,2524.06,12199.75,---,---
6/9/2020,2529.44,2626.43,2525.0,2600.86,12199.75,2600.86,---
6/10/2020,2645.0,2722.35,2626.26,2647.45,12386.11,---,---
6/11/2020,2603.5,2671.38,2536.23,2557.96,12028.15,---,---
6/12/2020,2601.21,2621.48,2503.35,2545.02,11976.39,---,---
6/15/2020,2526.6,2584.0,2508.0,2572.68,12087.03,---,---
6/16/2020,2620.0,2620.0,2576.0,2615.27,12257.39,---,---
6/17/2020,2647.5,2655.0,2631.82,2640.98,12360.23,---,---
6/18/2020,2647.01,2659.64,2636.11,2653.98,12412.23,---,---
6/19/2020,2678.08,2697.43,2659.0,2675.01,12496.35,---,---
6/22/2020,2684.5,2715.0,2669.0,2713.82,12651.59,---,---
6/23/2020,2726.02,2783.11,2718.04,2764.41,12853.95,---,---
6/24/2020,2780.0,2796.0,2721.0,2734.4,12733.91,---,---
6/25/2020,2739.55,2756.23,2712.14,2754.58,12814.63,---,---
6/26/2020,2775.06,2782.57,2688.0,2692.87,12567.79,---,---
6/29/2020,2690.01,2696.8,2630.08,2680.38,12517.83,---,---
6/30/2020,2685.07,2769.63,2675.03,2758.82,12831.59,---,---
7/1/2020,2757.99,2895.0,2754.0,2878.7,13311.11,---,---
7/2/2020,2912.01,2955.56,2871.1,2890.3,13357.51,---,---
7/6/2020,2934.97,3059.88,2930.0,3057.04,14024.47,---,---
7/7/2020,3058.55,3069.55,2990.0,3000.12,13796.79,---,---
7/8/2020,3022.61,3083.97,3012.43,3081.11,14120.75,---,---
7/9/2020,3115.99,3193.88,3074.0,3182.63,14526.83,---,---
7/10/2020,3191.76,3215.0,3135.7,3200.0,14596.31,---,---
7/13/2020,3251.06,3344.29,3068.39,3104.0,14212.31,---,---
7/14/2020,3089.0,3127.38,2950.0,3084.0,14132.31,---,---
7/15/2020,3080.21,3098.35,2973.18,3008.87,13831.79,---,---
7/16/2020,2971.06,3032.0,2918.23,2999.9,13795.91,---,2999.9
7/17/2020,3009.0,3024.0,2948.45,2961.97,13795.91,---,---
7/20/2020,3000.2,3201.36,2994.02,3196.84,13795.91,---,---
7/21/2020,3232.49,3240.58,3105.72,3138.29,13795.91,---,---
7/22/2020,3125.0,3150.0,3065.26,3099.91,13795.91,---,---
7/23/2020,3098.27,3098.27,2970.0,2986.55,13795.91,---,---
7/24/2020,2930.0,3031.58,2888.0,3008.91,13795.91,---,---
7/27/2020,3062.0,3098.0,3015.77,3055.21,13795.91,---,---
7/28/2020,3054.27,3077.09,2995.76,3000.33,13795.91,---,---
7/29/2020,3030.99,3039.16,2996.77,3033.53,13795.91,---,---
7/30/2020,3014.0,3092.0,3005.0,3051.88,13795.91,---,---
7/31/2020,3244.0,3246.82,3151.0,3164.68,13795.91,---,---
8/3/2020,3180.51,3184.0,3104.0,3111.89,13795.91,---,---
8/4/2020,3101.21,3167.24,3101.21,3138.83,13795.91,---,---
8/5/2020,3143.77,3213.59,3127.3,3205.03,13795.91,---,---
8/6/2020,3194.36,3247.47,3165.43,3225.0,13795.91,---,---
8/7/2020,3224.01,3240.81,3140.67,3167.46,13795.91,---,---
8/10/2020,3170.31,3172.51,3101.52,3148.16,13795.91,---,---
8/11/2020,3113.2,3159.22,3073.0,3080.67,13795.91,---,---
8/12/2020,3108.0,3174.39,3101.42,3162.24,13795.91,---,---
8/13/2020,3182.99,3217.52,3155.0,3161.02,13795.91,---,---
8/14/2020,3178.18,3178.24,3120.0,3148.02,13795.91,---,---
8/17/2020,3173.12,3194.97,3154.18,3182.41,13795.91,---,---
8/18/2020,3212.0,3320.0,3205.82,3312.49,13795.91,---,---
8/19/2020,3303.01,3315.9,3256.0,3260.48,13795.91,3260.48,---
8/20/2020,3252.0,3312.62,3238.0,3297.37,13943.47,---,---
8/21/2020,3295.0,3314.4,3275.39,3284.72,13892.87,---,---
8/24/2020,3310.15,3380.32,3257.56,3307.46,13983.83,---,---
8/25/2020,3294.99,3357.4,3267.0,3346.49,14139.95,---,---
8/26/2020,3351.11,3451.74,3344.57,3441.85,14521.39,---,---
8/27/2020,3450.05,3453.0,3378.0,3400.0,14353.99,---,---
8/28/2020,3423.0,3433.37,3386.5,3401.8,14361.19,---,---
8/31/2020,3408.99,3495.0,3405.0,3450.96,14557.83,---,---
9/1/2020,3489.58,3513.87,3467.0,3499.12,14750.47,---,---
9/2/2020,3547.0,3552.25,3486.68,3531.45,14879.79,---,---
9/3/2020,3485.0,3488.41,3303.0,3368.0,14225.99,---,---
9/4/2020,3318.0,3381.5,3111.13,3294.62,13932.47,---,3294.62
9/8/2020,3144.0,3250.84,3130.0,3149.84,13932.47,---,---
9/9/2020,3202.99,3303.18,3185.0,3268.61,13932.47,---,---
9/10/2020,3307.22,3349.89,3170.55,3175.11,13932.47,---,---
9/11/2020,3208.69,3217.34,3083.98,3116.22,13932.47,---,---
9/14/2020,3172.94,3187.39,3096.0,3102.97,13932.47,---,---
9/15/2020,3136.16,3175.02,3108.92,3156.13,13932.47,---,---
9/16/2020,3179.99,3187.24,3074.15,3078.1,13932.47,---,---
9/17/2020,3009.25,3029.43,2972.55,3008.73,13932.47,---,---
9/18/2020,3031.74,3037.8,2905.54,2954.91,13932.47,---,---
9/21/2020,2906.5,2962.0,2871.0,2960.47,13932.47,---,---
9/22/2020,3033.84,3133.99,3000.2,3128.99,13932.47,---,---
9/23/2020,3120.43,3127.0,2992.38,2999.86,13932.47,---,---
9/24/2020,2977.79,3069.3,2965.0,3019.79,13932.47,---,---
9/25/2020,3054.86,3101.54,2999.0,3095.13,13932.47,---,---
9/28/2020,3148.85,3175.04,3117.17,3174.05,13932.47,---,---
9/29/2020,3175.39,3188.26,3132.54,3144.88,13932.47,3144.88,---
9/30/2020,3141.14,3212.88,3133.99,3148.73,13947.87,---,---
10/1/2020,3208.0,3224.0,3172.0,3221.26,14237.99,---,---
10/2/2020,3153.63,3195.8,3123.0,3125.0,13852.95,---,---
10/5/2020,3145.84,3202.53,3140.85,3199.2,14149.75,---,---
10/6/2020,3165.0,3182.0,3090.0,3099.96,13752.79,---,---
10/7/2020,3135.0,3200.0,3132.39,3195.69,14135.71,---,---
10/8/2020,3224.99,3233.29,3174.99,3190.55,14115.15,---,---
10/9/2020,3210.0,3288.99,3197.83,3286.65,14499.55,---,---
10/12/2020,3349.94,3496.24,3339.55,3442.93,15124.67,---,---
10/13/2020,3467.99,3492.38,3424.22,3443.63,15127.47,---,---
10/14/2020,3447.0,3464.88,3340.0,3363.71,14807.79,---,---
10/15/2020,3292.01,3355.88,3280.0,3338.65,14707.55,---,---
10/16/2020,3363.23,3399.66,3160.0,3272.71,14443.79,---,---
10/19/2020,3299.61,3329.0,3192.74,3207.21,14181.79,---,---
10/20/2020,3222.28,3266.0,3192.01,3217.01,14220.99,---,---
10/21/2020,3212.5,3233.88,3160.0,3184.94,14092.71,---,3184.94
10/22/2020,3189.87,3198.75,3121.94,3176.4,14092.71,---,---
10/23/2020,3191.0,3205.33,3140.0,3204.4,14092.71,---,---
10/26/2020,3198.74,3282.98,3153.3,3209.23,14092.71,---,---
10/27/2020,3224.94,3291.66,3211.3,3286.33,14092.71,---,---
10/28/2020,3249.3,3264.02,3162.47,3162.78,14092.71,---,---
10/29/2020,3201.27,3257.25,3164.0,3211.01,14092.71,---,---
10/30/2020,3157.75,3167.0,3019.0,3036.15,14092.71,---,---
11/2/2020,3061.74,3079.7,2950.12,3004.48,14092.71,---,---
11/3/2020,3018.53,3074.9,2980.98,3048.41,14092.71,---,---
11/4/2020,3159.99,3244.85,3139.73,3241.16,14092.71,---,---
11/5/2020,3319.97,3366.8,3288.88,3322.0,14092.71,---,---
11/6/2020,3304.64,3322.0,3232.0,3311.37,14092.71,---,---
11/9/2020,3231.03,3289.0,3112.11,3143.74,14092.71,---,---
11/10/2020,3095.02,3114.0,3019.48,3035.02,14092.71,---,---
11/11/2020,3061.78,3139.14,3050.0,3137.39,14092.71,---,---
11/12/2020,3159.95,3175.88,3086.05,3110.28,14092.71,---,---
11/13/2020,3122.0,3141.72,3085.39,3128.81,14092.71,---,---
11/16/2020,3093.2,3142.7,3072.68,3131.06,14092.71,---,---
11/17/2020,3183.54,3189.25,3135.26,3135.66,14092.71,---,---
11/18/2020,3134.0,3140.0,3105.1,3105.46,14092.71,---,---
11/19/2020,3105.31,3125.0,3080.92,3117.02,14092.71,---,---
11/20/2020,3117.02,3132.89,3098.05,3099.4,14092.71,---,---
11/23/2020,3116.7,3139.74,3065.46,3098.39,14092.71,---,---
